tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*CXN,dragons,d,n,SIS,30919220_30920020, ,NA
*MAN,balls,q,n,ADM,30926000_30930880, ,NA
*FAN,floaties,n,n,BRO,30930880_30932500, ,NA
*MAF,cart,d,n,MOT,30945880_30946880, ,NA
*FAN,cart,d,n,MOT,30950700_30951920, ,NA
*FAN,lighters,d,n,MOT,31375880_31376940, ,NA
*OLN,hands,d,n,MOT,31490320_31493810, ,NA
*FAN,parking+lot,d,n,MOT,31493810_31494820, ,NA
*OLN,hands,d,n,MOT,31494820_31504660, ,NA
*OLN,hands,d,n,MOT,31530930_31541660, ,NA
*OLN,parking+lot,d,n,MOT,31530930_31541660, ,NA
*OLN,hands,d,n,MOT,31546330_31550710, ,NA
*OLN,parking+lot,d,n,MOT,31546330_31550710, ,NA
*OLN,car,d,n,MOT,31560780_31567310, ,NA
*FAN,noodles,d,n,MOT,31619760_31620760, ,NA
*FAN,farm,d,n,BRO,33605760_33606920, ,NA
*FAN,pool,q,n,MOT,33769110_33772120, ,NA
*TVF,tunnel,q,n,BRO,33792720_33794330, ,NA
*CXN,towel,n,n,SIS,33838550_33839490, ,NA
*FAF,bathing+suits,d,n,MOT,33895220_33897470, ,NA
*FAN,kiddy+pool,q,n,BRO,33905150_33906180, ,NA
*OLN,crocs,i,n,MOT,33993250_33994550, ,NA
*CXN,crocs,i,n,MOT,33996150_33996950, ,NA
*FAN,crocs,d,n,MOT,33999850_34001060, ,NA
*FAN,shoes,d,n,MOT,33999850_34001060, ,NA
*FAN,shoes,d,n,MOT,34076530_34078390, ,NA
*FAN,noodle,d,n,MOT,34145480_34147160, ,NA
*FAN,trunk,d,n,MOT,34149740_34150780, ,NA
*OLN,life+jacket,d,n,MOT,34645150_34652060, ,NA
*OLN,feet,q,n,BRO,34708130_34728250, ,NA
*FAN,baby,d,n,MOT,35033740_35036610, ,NA
*OLN,eyes,d,n,MOT,35036610_35037540, ,NA
*FAN,floaty,d,n,MOT,35085000_35086200, ,NA
*CXN,pool,d,n,MOT,35092770_35093830, ,NA
*FAN,pool,d,n,MOT,35096660_35097260, ,NA
*FAN,sun,q,n,MOT,36206280_36208750, ,NA
*FAN,sun,i,n,MOT,36206280_36208750, ,NA
*FAN,towel,d,n,MBR,36209390_36210390, ,NA
*FAN,water,d,n,MOT,36211730_36213240, ,NA
*FAN,water,d,n,MOT,36214110_36215180, ,NA
*FAN,floaty,d,n,MOT,36216710_36217800, ,NA
*FAN,swimmy+shirt,d,n,MOT,36419310_36422380, ,NA
*FAN,bathtub,d,n,MOT,36432970_36434140, ,NA
*CXN,bathtub,d,n,KID,36437710_36439700, ,NA
*OLN,water,d,y,KID,36440690_36441800, ,NA
*FAN,life+jackets,d,n,MOT,37141980_37143640, ,NA
*FAN,goldfish,q,n,MOT,39142690_39143710, ,NA
*CXN,goldfish,q,n,MOT,39151590_39152410, ,NA
*FAN,nuts,n,y,MOT,39261610_39262610, ,NA
*FAF,blueberries,n,y,MOT,39263540_39264560, ,NA
*FAN,diaper,d,n,MOT,39303190_39306250, ,NA
*FAN,blueberries,q,y,MOT,39315960_39317000, ,NA
*FAF,bandaid,d,n,MOT,39341350_39342360, ,NA
*FAN,stroller,q,y,MOT,39987780_39989620, ,NA
*FAN,paci,q,y,MOT,39990420_39995920, ,NA
*FAN,shoes,d,n,MOT,40795090_40796420, ,NA
*FAN,shoey,d,n,MOT,40816680_40818030, ,NA
*OLN,paci,d,y,BRO,42059980_42062140, ,NA
*FAN,food,q,n,MOT,42902740_42903740, ,NA
*FAN,poops,n,n,MOT,43821980_43823250, ,NA
*FAN,swim+suit,d,y,MOT,43832590_43833910, ,NA
*FAN,swim+suit,d,y,MOT,43834520_43835530, ,NA
*FAN,turkey,d,n,MOT,43844680_43846270, ,NA
*FAN,diaper,d,y,MOT,43844680_43846270, ,NA
*FAN,boat,q,n,MOT,43923560_43924780, ,NA
*FAN,boat,d,n,MOT,43925620_43926910, ,NA
*FAF,Three+little+pigs,r,y,MOT,44184080_44184700, ,NA
*FAN,house,r,y,MOT,44212050_44213620, ,NA
*TVN,straw,r,y,MOT,44213620_44215020, ,NA
*FAN,house,r,y,MOT,44215020_44216130, ,NA
*TVN,hay,r,y,MOT,44216130_44217050, ,NA
*FAN,flute,r,n,MOT,44217050_44218810, ,NA
*FAN,pig,r,y,MOT,44222410_44223410, ,NA
*FAN,house,r,y,MOT,44227700_44230140, ,NA
*FAN,sticks,r,y,MOT,44230960_44231960, ,NA
*FAN,pig,r,y,MOT,44245130_44247120, ,NA
*FAF,bricks,r,y,MOT,44248120_44249360, ,NA
*FAF,wolf,r,y,MOT,44254240_44256590, ,NA
*TVN,wolf,d,y,MOT,44262490_44263880, ,NA
*FAN,piggy,d,y,MOT,44263880_44264880, ,NA
*FAN,piggy,r,y,MOT,44276470_44279270, ,NA
*FAN,house,r,y,MOT,44284240_44285240, ,NA
*MAN,wolf,r,y,MOT,44294310_44295310, ,NA
*TVF,wolf,s,y,MOT,44302320_44303560, ,NA
*CHN,wolf,s,y,MOT,44303560_44304160, ,NA
*FAN,wolf,s,y,MOT,44306770_44308790, ,NA
*CXN,wolf,s,n,MOT,44332910_44334290, ,NA
