tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*FAN,book,q,y,MOT,35472190_35473200, ,NA
*FAN,Its+a+little+book,d,y,MOT,35475600_35476810, ,NA
*FAN,water,d,y,MOT,35564640_35566060, ,NA
*FAN,gear,q,y,MOT,35569970_35572260, ,NA
*FAN,floor,q,y,MOT,35573060_35574880, ,NA
*FAN,laundry,q,y,MOT,35573060_35574880, ,NA
*FAN,gear,n,y,MOT,35576080_35577250, ,NA
*FAN,milk,d,n,MOT,35598350_35599350, ,NA
*FAN,food,d,n,MOT,35602150_35604430, ,NA
*FAN,food,d,n,MOT,35606100_35607130, ,NA
*FAN,head,q,n,MOT,35618440_35619440, ,NA
*OLN,head,d,n,MOT,35622840_35623650, ,NA
*FAN,noggin,d,n,MOT,35624530_35626380, ,NA
*FAN,boat,s,n,MOT,35641760_35646070, ,NA
*FAN,stream,s,n,MOT,35641760_35646070, ,NA
*FAN,pumpkin,s,n,MOT,35651790_35655870, ,NA
*FAN,pumpkin,s,n,MOT,35651790_35655870, ,NA
*FAN,jack+o+lantern,s,n,MOT,35656610_35661210, ,NA
*FAN,pumpkin,s,n,MOT,35662860_35671400, ,NA
*FAN,pumpkin,s,n,MOT,35662860_35671400, ,NA
*FAN,jack+o+lantern,s,n,MOT,35662860_35671400, ,NA
*FAN,pumpkin,s,n,MOT,35674780_35679160, ,NA
*FAN,pumpkin,s,n,MOT,35674780_35679160, ,NA
*FAN,jack+o+lantern,s,n,MOT,35679760_35683090, ,NA
*MAN,squirrel,s,n,MOT,35687540_35688550, ,NA
*FAN,squirrel,s,n,MOT,35688550_35694780, ,NA
*FAN,tail,s,n,MOT,35688550_35694780, ,NA
*FAN,squirrel,s,n,MOT,35688550_35694780, ,NA
*OLN,squirrel,s,n,MOT,35694780_35696760, ,NA
*FAN,tail,s,n,MOT,35696760_35698480, ,NA
*FAN,nose,d,n,MOT,35703620_35705100, ,NA
*FAN,squirrel,s,n,MOT,35707950_35710200, ,NA
*FAN,squirrel,s,n,MOT,35710800_35715480, ,NA
*FAN,tail,s,n,MOT,35710800_35715480, ,NA
*MAN,squirrel,s,n,MOT,35715480_35716480, ,NA
*FAN,squirrel,s,n,MOT,35716480_35717560, ,NA
*FAN,tail,s,n,MOT,35718760_35720810, ,NA
*OLF,nose,s,n,MOT,35722630_35724020, ,NA
*OLN,nut,s,n,MOT,35726270_35727910, ,NA
*FAN,toes,s,n,MOT,35727910_35728710, ,NA
*MAN,squirrel,s,n,MOT,35730250_35731250, ,NA
*FAN,squirrel,s,n,MOT,35731250_35732900, ,NA
*FAN,tail,s,n,MOT,35734520_35735120, ,NA
*OLN,squirrel,s,n,MOT,35739610_35740490, ,NA
*FAN,squirrel,s,n,MOT,35740490_35741230, ,NA
*OLN,tail,s,n,MOT,35741230_35744340, ,NA
*FAN,squirrel,s,n,MOT,35744940_35746170, ,NA
*FAN,squirrel,s,n,MOT,35747060_35748690, ,NA
*OLN,tail,s,n,MOT,35748690_35750420, ,NA
*CXN,nose,s,n,MOT,35753230_35754240, ,NA
*FAN,nut,s,n,MOT,35756040_35757480, ,NA
*OLN,toes,s,n,MOT,35757480_35759080, ,NA
*OLN,squirrel,s,n,MOT,35760470_35769880, ,NA
*OLN,squirrel,s,n,MOT,35760470_35769880, ,NA
*OLN,tail,s,n,MOT,35760470_35769880, ,NA
*FAN,boat,s,n,MOT,35830010_35833040, ,NA
*OLN,stream,s,n,MOT,35833740_35834680, ,NA
*OLN,boat,s,n,MOT,35841740_35842650, ,NA
*FAN,boat,s,n,MOT,35848550_35853270, ,NA
*FAN,stream,s,n,MOT,35853870_35856380, ,NA
*FAN,boat,s,n,MOT,35882840_35883670, ,NA
*FAN,stream,s,n,MOT,35883670_35885210, ,NA
*FAN,boat,s,n,MOT,35896230_35897060, ,NA
*FAN,stream,s,n,MOT,35897060_35898490, ,NA
*OLN,teether,q,n,MOT,35904430_35910400, ,NA
*OLN,toe,d,n,MOT,35916550_35918210, ,NA
*MAN,toe,d,n,MOT,35922050_35923100, ,NA
*OLN,toe,d,n,MOT,35926240_35929910, ,NA
*FAN,teeth,q,n,MOT,35942100_35943100, ,NA
*FAN,pizza,d,n,MOT,35960940_35962750, ,NA
*MAN,hippo,q,n,FAT,35985580_35986880, ,NA
*MAN,teether,q,y,FAT,36009480_36010480, ,NA
*MAN,squirrel,s,n,FAT,36026770_36029430, ,NA
*MAN,squirrel,s,n,FAT,36026770_36029430, ,NA
*MAN,tail,s,n,FAT,36030260_36032500, ,NA
*MAN,squirrel,s,n,FAT,36033920_36037150, ,NA
*MAN,squirrel,s,n,FAT,36033920_36037150, ,NA
*MAN,tail,s,n,FAT,36038410_36041710, ,NA
*MAN,tail,q,n,FAT,36038410_36041710, ,NA
*MAN,tail,s,n,FAT,36042570_36044730, ,NA
*FAN,nose,s,n,FAT,36049790_36052270, ,NA
*MAN,nut,s,n,FAT,36054190_36057180, ,NA
*OLN,toes,s,n,FAT,36057180_36059500, ,NA
*MAN,squirrel,s,n,FAT,36059500_36061660, ,NA
*OLN,squirrel,s,n,FAT,36061660_36063270, ,NA
*OLF,tail,s,n,FAT,36064400_36067200, ,NA
*CHN,mou,n,n,CHI,36142830_36143730, ,NA
*FAN,mouth,n,n,MOT,36143730_36145570, ,NA
*MAN,nose,q,n,MOT,36151620_36152880, ,NA
*FAN,pumpkin,q,n,MOT,36184380_36185750, ,NA
*FAN,pumpkin,s,n,MFT,36186980_36189880, ,NA
*FAN,pumpkin,s,n,MFT,36186980_36189880, ,NA
*FAN,jack+o+lantern,s,n,MFT,36192080_36194160, ,NA
*FAN,pumpkin,s,n,MFT,36199160_36202470, ,NA
*FAN,pumpkin,s,n,MFT,36199160_36202470, ,NA
*FAN,jack+o+lantern,s,n,MFT,36205120_36207570, ,NA
*FAN,pumpkin,s,n,MOT,36210620_36212290, ,NA
*FAN,pumpkin,s,n,MOT,36210620_36212290, ,NA
*OLN,jack+o+lantern,s,n,MFT,36215960_36216830, ,NA
*CHN,hand,d,n,MOT,36223830_36225360, ,NA
*MAN,hands,q,y,FAT,36230710_36231710, ,NA
*FAN,pumpkin,s,n,MFT,36236620_36240560, ,NA
*FAN,pumpkin,s,n,MFT,36236620_36240560, ,NA
*FAN,jack+o+lantern,s,n,MFT,36244650_36245750, ,NA
*FAN,arms,d,n,MOT,36248090_36257360, ,NA
*FAN,pumpkin,d,n,MOT,36248090_36257360, ,NA
*FAN,ball,d,n,MOT,36248090_36257360, ,NA
*FAN,pumpkin,s,n,MOT,36248090_36257360, ,NA
*FAN,pumpkin,s,n,MFT,36248090_36257360, ,NA
*OLN,jack+o+lantern,s,n,MFT,36259180_36260070, ,NA
*CHN,ball,n,y,CHI,36270920_36271590, ,NA
*MAN,ball,q,y,FAT,36271960_36273610, ,NA
*MAN,tv,q,y,FAT,36271960_36273610, ,NA
*CHN,ball,n,y,CHI,36276270_36276600, ,NA
*CHN,ball,n,y,CHI,36277110_36277740, ,NA
*CHN,ball,n,y,CHI,36279950_36280590, ,NA
*MAN,baseball,d,y,FAT,36280890_36282480, ,NA
*MAN,ball,d,n,FAT,36285880_36287240, ,NA
*MAN,tv,d,n,FAT,36285880_36287240, ,NA
*FAN,legs,d,n,MOT,36347480_36349650, ,NA
*MAN,food,q,n,MOT,36349650_36350910, ,NA
*FAN,pumpkin,s,n,MFT,36353120_36356140, ,NA
*FAN,pumpkin,s,n,MFT,36353120_36356140, ,NA
*FAN,jack+o+lantern,s,n,MFT,36358350_36360270, ,NA
*FAN,arms,q,n,MOT,36363920_36366480, ,NA
*FAN,arms,q,n,MOT,36363920_36366480, ,NA
*FAN,pumpkin,s,n,MFT,36368320_36371000, ,NA
*FAN,pumpkin,s,n,MFT,36368320_36371000, ,NA
*FAN,jack+o+lantern,s,n,MOT,36373350_36375210, ,NA
*FAN,arms,q,n,MOT,36379610_36382510, ,NA
*FAN,ball,q,n,MOT,36379610_36382510, ,NA
*MAN,pumpkin,d,n,FAT,36382510_36383890, ,NA
*FAN,pum,n,n,CHI,36385260_36386760, ,NA
*FAN,pumpkin,s,n,MFT,36386760_36387760, ,NA
*FAN,pumpkin,s,n,MFT,36388560_36390390, ,NA
*FAN,jack+o+lantern,s,n,MFT,36393070_36394510, ,NA
*FAN,floor,q,n,MOT,36424860_36427660, ,NA
*MAN,learning+tower,d,n,FAT,36539580_36540580, ,NA
*OLF,pumpkin,s,n,FAT,36586930_36589300, ,NA
*OLF,pumpkin,s,n,FAT,36586930_36589300, ,NA
*FAN,jack+o+lantern,s,n,FAT,36592130_36593870, ,NA
*MAN,sink,q,n,FAT,37033200_37034250, ,NA
*CHN,sink,n,n,CHI,37035050_37035360, ,NA
*CHN,sink,n,n,CHI,37040290_37040640, ,NA
*CHN,sink,n,n,CHI,37041660_37041920, ,NA
*MAN,sink,n,n,FAT,37042720_37044180, ,NA
*MAN,sink,n,n,FAT,37042720_37044180, ,NA
*MAN,sink,n,n,FAT,37042720_37044180, ,NA
*MAN,sink,n,n,FAT,37042720_37044180, ,NA
*MAN,sink,n,n,FAT,37042720_37044180, ,NA
*OLN,sink,n,n,FAT,37044180_37045910, ,NA
*OLN,sink,n,n,FAT,37044180_37045910, ,NA
*OLN,sink,n,n,FAT,37044180_37045910, ,NA
*OLN,sink,n,n,FAT,37044180_37045910, ,NA
*OLN,sink,n,n,FAT,37044180_37045910, ,NA
*OLN,sink,n,n,FAT,37044180_37045910, ,NA
*OLN,sinkidy,s,n,FAT,37046980_37050030, ,NA
*OLN,sink,s,n,FAT,37046980_37050030, ,NA
*OLN,sink,s,n,FAT,37046980_37050030, ,NA
*OLN,sink,s,n,FAT,37046980_37050030, ,NA
*OLN,sink,s,n,FAT,37046980_37050030, ,NA
*OLN,sink,s,n,FAT,37046980_37050030, ,NA
*OLN,sink,s,n,FAT,37046980_37050030, ,NA
*OLN,sink,s,n,FAT,37046980_37050030, ,NA
*OLN,sink,s,n,FAT,37046980_37050030, ,NA
*OLN,hands,q,n,FAT,37069200_37070460, ,NA
*MAN,water,q,n,FAT,37082690_37084670, ,NA
*FAN,hands,q,y,FAT,37106900_37107780, ,NA
*OLN,dishes,d,y,FAT,37111590_37116070, ,NA
*MAN,hands,q,y,FAT,37126060_37128160, ,NA
*MAN,water,d,y,FAT,37134440_37137420, ,NA
*FAN,sponge,d,y,FAT,37194270_37195340, ,NA
*MAN,soap,d,y,FAT,37231510_37232910, ,NA
*MAN,sponge,d,y,FAT,37231510_37232910, ,NA
*MAN,dishes,d,y,FAT,37234370_37236160, ,NA
*MAN,water,d,y,FAT,37234370_37236160, ,NA
*MAN,water,d,y,FAT,37247100_37249160, ,NA
